checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_rate,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,default
< 0 DM,12,Existing paid,Radio/TV,727,100 - 500 DM,< 1 year,4,Male : Married/Widowed,None,3,Unknown / No property,33,None,Own,1,Unskilled - resident,1,Yes,Yes,1
0 - 200 DM,8,Existing paid,Furniture/Equipment,1237,< 100 DM,1 - 4 years,3,Female : Divorced/Separated/Married,None,4,Real estate,24,None,Own,1,Skilled employee,1,No,Yes,1
0 - 200 DM,9,Existing paid,Car (new),276,< 100 DM,1 - 4 years,4,Male : Married/Widowed,None,4,Real estate,22,None,Rent,1,Unskilled - resident,1,No,Yes,0
0 - 200 DM,48,Existing paid,Others,5381,Unknown / No savings,Unemployed,3,Male : Single,None,4,Unknown / No property,40,Bank,Free,1,Unemployed / Unskilled - non-resident,1,Yes,Yes,0
No checking account,24,Existing paid,Furniture/Equipment,5511,100 - 500 DM,1 - 4 years,4,Male : Single,None,1,Car or other,25,Stores,Own,1,Skilled employee,1,No,Yes,0
>= 200 DM,24,Existing paid,Furniture/Equipment,3749,< 100 DM,< 1 year,2,Female : Divorced/Separated/Married,None,4,Car or other,26,None,Own,1,Skilled employee,1,No,Yes,0
0 - 200 DM,12,Existing paid,Car (new),685,< 100 DM,4 - 7 years,2,Male : Married/Widowed,None,3,Car or other,25,Bank,Own,1,Unskilled - resident,1,No,Yes,1
>= 200 DM,4,Existing paid,Car (new),1494,Unknown / No savings,< 1 year,1,Male : Single,None,2,Real estate,29,None,Own,1,Unskilled - resident,2,No,No,0
< 0 DM,36,All paid this bank,Furniture/Equipment,2746,< 100 DM,>= 7 years,4,Male : Single,None,4,Car or other,31,Bank,Own,1,Skilled employee,1,No,Yes,1
< 0 DM,12,Existing paid,Furniture/Equipment,708,< 100 DM,1 - 4 years,2,Male : Single,Guarantor,3,Building society savings / Life insurance,38,None,Own,1,Unskilled - resident,2,No,Yes,0
0 - 200 DM,24,Existing paid,Furniture/Equipment,4351,Unknown / No savings,1 - 4 years,1,Female : Divorced/Separated/Married,None,4,Building society savings / Life insurance,48,None,Own,1,Unskilled - resident,1,Yes,Yes,0
No checking account,12,Critical account,Education,701,< 100 DM,1 - 4 years,4,Male : Single,None,2,Car or other,32,None,Own,2,Skilled employee,1,No,Yes,0
< 0 DM,15,Delay in past,Furniture/Equipment,3643,< 100 DM,>= 7 years,1,Female : Divorced/Separated/Married,None,4,Building society savings / Life insurance,27,None,Own,2,Unskilled - resident,1,No,Yes,0
0 - 200 DM,30,Critical account,Car (new),4249,< 100 DM,Unemployed,4,Male : Married/Widowed,None,2,Car or other,28,None,Own,2,Management / Highly qualified,1,No,Yes,1
< 0 DM,24,Existing paid,Radio/TV,1938,< 100 DM,< 1 year,4,Male : Divorced/Separated,None,3,Building society savings / Life insurance,32,None,Own,1,Skilled employee,1,No,Yes,1
< 0 DM,24,Existing paid,Car (used),2910,< 100 DM,4 - 7 years,2,Male : Single,None,1,Unknown / No property,34,None,Free,1,Management / Highly qualified,1,Yes,Yes,0
< 0 DM,18,Existing paid,Furniture/Equipment,2659,>= 1000 DM,1 - 4 years,4,Male : Single,None,2,Car or other,28,None,Own,1,Skilled employee,1,No,Yes,0
No checking account,18,Critical account,Car (new),1028,< 100 DM,1 - 4 years,4,Female : Divorced/Separated/Married,None,3,Real estate,36,None,Own,2,Skilled employee,1,No,Yes,0
< 0 DM,8,Critical account,Car (new),3398,< 100 DM,4 - 7 years,1,Male : Single,None,4,Real estate,39,None,Own,2,Unskilled - resident,1,No,No,0
No checking account,12,Critical account,Furniture/Equipment,5801,Unknown / No savings,>= 7 years,2,Male : Single,None,4,Building society savings / Life insurance,49,None,Rent,1,Skilled employee,1,Yes,Yes,0
No checking account,24,Existing paid,Car (new),1525,>= 1000 DM,4 - 7 years,4,Female : Divorced/Separated/Married,None,3,Car or other,34,None,Own,1,Skilled employee,2,Yes,Yes,0
>= 200 DM,36,Existing paid,Radio/TV,4473,< 100 DM,>= 7 years,4,Male : Single,None,2,Car or other,31,None,Own,1,Skilled employee,1,No,Yes,0
0 - 200 DM,6,Existing paid,Radio/TV,1068,< 100 DM,>= 7 years,4,Male : Single,None,4,Car or other,28,None,Own,1,Skilled employee,2,No,Yes,0
< 0 DM,24,Critical account,Car (used),6615,< 100 DM,Unemployed,2,Male : Single,None,4,Unknown / No property,75,None,Free,2,Management / Highly qualified,1,Yes,Yes,0
No checking account,18,Critical account,Education,1864,100 - 500 DM,1 - 4 years,4,Female : Divorced/Separated/Married,None,2,Real estate,30,None,Own,2,Skilled employee,1,No,Yes,1
0 - 200 DM,60,Existing paid,Car (new),7408,100 - 500 DM,< 1 year,4,Female : Divorced/Separated/Married,None,2,Building society savings / Life insurance,24,None,Own,1,Management / Highly qualified,1,No,Yes,1
No checking account,48,Critical account,Car (used),11590,100 - 500 DM,1 - 4 years,2,Female : Divorced/Separated/Married,None,4,Car or other,24,Bank,Rent,2,Unskilled - resident,1,No,Yes,1
< 0 DM,24,No credits / All paid,Furniture/Equipment,4110,< 100 DM,>= 7 years,3,Male : Single,None,4,Unknown / No property,23,Bank,Rent,2,Skilled employee,2,No,Yes,1
< 0 DM,6,Critical account,Furniture/Equipment,3384,< 100 DM,1 - 4 years,1,Male : Divorced/Separated,None,4,Real estate,44,None,Rent,1,Management / Highly qualified,1,Yes,Yes,1
0 - 200 DM,13,Existing paid,Radio/TV,2101,< 100 DM,< 1 year,2,Female : Divorced/Separated/Married,Guarantor,4,Building society savings / Life insurance,23,None,Own,1,Unskilled - resident,1,No,Yes,0
< 0 DM,15,Existing paid,Domestic appliances,1275,Unknown / No savings,1 - 4 years,4,Female : Divorced/Separated/Married,None,2,Car or other,24,None,Rent,1,Skilled employee,1,No,Yes,1
< 0 DM,24,Existing paid,Furniture/Equipment,4169,< 100 DM,1 - 4 years,4,Male : Single,None,4,Building society savings / Life insurance,28,None,Own,1,Skilled employee,1,No,Yes,0
0 - 200 DM,10,Existing paid,Furniture/Equipment,1521,< 100 DM,1 - 4 years,4,Male : Divorced/Separated,None,2,Car or other,31,None,Own,1,Unskilled - resident,1,No,Yes,0
0 - 200 DM,24,Critical account,Education,5743,< 100 DM,< 1 year,2,Female : Divorced/Separated/Married,None,4,Unknown / No property,24,None,Free,2,Skilled employee,1,Yes,Yes,0
< 0 DM,21,Existing paid,Furniture/Equipment,3599,< 100 DM,4 - 7 years,1,Female : Divorced/Separated/Married,None,4,Car or other,26,None,Rent,1,Unskilled - resident,1,No,Yes,0
0 - 200 DM,18,Existing paid,Radio/TV,3213,500 - 1000 DM,< 1 year,1,Male : Married/Widowed,None,3,Real estate,25,None,Rent,1,Skilled employee,1,No,Yes,0
0 - 200 DM,18,Existing paid,Business,4439,< 100 DM,>= 7 years,1,Male : Single,Co-applicant,1,Real estate,33,Bank,Own,1,Management / Highly qualified,1,Yes,Yes,0
>= 200 DM,10,Existing paid,Car (new),3949,< 100 DM,< 1 year,1,Male : Single,Guarantor,1,Building society savings / Life insurance,37,None,Own,1,Unskilled - resident,2,No,Yes,0
No checking account,15,Critical account,Radio/TV,1459,< 100 DM,1 - 4 years,4,Female : Divorced/Separated/Married,None,2,Car or other,43,None,Own,1,Unskilled - resident,1,No,Yes,0
0 - 200 DM,13,Critical account,Radio/TV,882,< 100 DM,< 1 year,4,Male : Single,Guarantor,4,Real estate,23,None,Own,2,Skilled employee,1,No,Yes,0
0 - 200 DM,24,Existing paid,Radio/TV,3758,500 - 1000 DM,Unemployed,1,Female : Divorced/Separated/Married,None,4,Unknown / No property,23,None,Rent,1,Unemployed / Unskilled - non-resident,1,No,Yes,0
No checking account,6,Delay in past,Business,1743,100 - 500 DM,1 - 4 years,1,Male : Single,None,2,Real estate,34,None,Own,2,Unskilled - resident,1,No,Yes,0
0 - 200 DM,9,Critical account,Education,1136,>= 1000 DM,>= 7 years,4,Male : Single,None,3,Unknown / No property,32,None,Free,2,Skilled employee,2,No,Yes,1
No checking account,9,Existing paid,Domestic appliances,1236,< 100 DM,< 1 year,1,Female : Divorced/Separated/Married,None,4,Real estate,23,None,Rent,1,Skilled employee,1,Yes,Yes,0
0 - 200 DM,9,Existing paid,Furniture/Equipment,959,< 100 DM,1 - 4 years,1,Female : Divorced/Separated/Married,None,2,Car or other,29,None,Own,1,Skilled employee,1,No,No,1
No checking account,18,Critical account,Car (used),3229,Unknown / No savings,Unemployed,2,Male : Single,None,4,Unknown / No property,38,None,Own,1,Management / Highly qualified,1,Yes,Yes,0
< 0 DM,12,No credits / All paid,Radio/TV,6199,< 100 DM,1 - 4 years,4,Male : Single,None,2,Building society savings / Life insurance,28,None,Rent,2,Skilled employee,1,Yes,Yes,1
No checking account,10,Existing paid,Education,727,500 - 1000 DM,>= 7 years,4,Male : Single,None,4,Unknown / No property,46,None,Free,1,Skilled employee,1,Yes,Yes,0
0 - 200 DM,24,Existing paid,Car (new),1246,< 100 DM,< 1 year,4,Male : Single,None,2,Real estate,23,Stores,Own,1,Unskilled - resident,1,No,Yes,1
No checking account,12,Critical account,Radio/TV,2331,Unknown / No savings,>= 7 years,1,Male : Single,Co-applicant,4,Real estate,49,None,Own,1,Skilled employee,1,Yes,Yes,0
No checking account,36,Delay in past,Radio/TV,4463,< 100 DM,1 - 4 years,4,Male : Single,None,2,Car or other,26,None,Own,2,Management / Highly qualified,1,Yes,Yes,1
No checking account,12,Existing paid,Radio/TV,776,< 100 DM,1 - 4 years,4,Male : Married/Widowed,None,2,Real estate,28,None,Own,1,Skilled employee,1,No,Yes,0
< 0 DM,30,Existing paid,Furniture/Equipment,2406,< 100 DM,4 - 7 years,4,Female : Divorced/Separated/Married,None,4,Real estate,23,None,Rent,1,Skilled employee,1,No,Yes,1
0 - 200 DM,18,Existing paid,Education,1239,Unknown / No savings,1 - 4 years,4,Male : Single,None,4,Unknown / No property,61,None,Free,1,Skilled employee,1,No,Yes,0
>= 200 DM,12,Existing paid,Radio/TV,3399,Unknown / No savings,>= 7 years,2,Male : Single,None,3,Car or other,37,None,Own,1,Management / Highly qualified,1,No,Yes,0
>= 200 DM,12,Delay in past,Car (new),2247,< 100 DM,1 - 4 years,2,Female : Divorced/Separated/Married,None,2,Car or other,36,Stores,Own,2,Skilled employee,1,Yes,Yes,0
No checking account,6,Existing paid,Furniture/Equipment,1766,< 100 DM,1 - 4 years,1,Male : Married/Widowed,None,2,Building society savings / Life insurance,21,None,Rent,1,Skilled employee,1,No,Yes,0
< 0 DM,18,Existing paid,Furniture/Equipment,2473,< 100 DM,Unemployed,4,Male : Single,None,1,Car or other,25,None,Own,1,Unemployed / Unskilled - non-resident,1,No,Yes,1
No checking account,12,Existing paid,Business,1542,< 100 DM,4 - 7 years,2,Male : Single,None,4,Car or other,36,None,Own,1,Skilled employee,1,Yes,Yes,0
No checking account,18,Critical account,Car (used),3850,< 100 DM,4 - 7 years,3,Male : Single,None,1,Car or other,27,None,Own,2,Skilled employee,1,No,Yes,0
< 0 DM,18,Existing paid,Furniture/Equipment,3650,< 100 DM,< 1 year,1,Female : Divorced/Separated/Married,None,4,Car or other,22,None,Rent,1,Skilled employee,1,No,Yes,0
< 0 DM,36,Existing paid,Furniture/Equipment,3446,< 100 DM,>= 7 years,4,Male : Single,None,2,Car or other,42,None,Own,1,Skilled employee,2,No,Yes,1
0 - 200 DM,18,Existing paid,Furniture/Equipment,3001,< 100 DM,4 - 7 years,2,Female : Divorced/Separated/Married,None,4,Real estate,40,None,Rent,1,Skilled employee,1,No,Yes,0
No checking account,36,Existing paid,Car (new),3079,Unknown / No savings,1 - 4 years,4,Male : Single,None,4,Real estate,36,None,Own,1,Skilled employee,1,No,Yes,0
No checking account,18,Critical account,Radio/TV,6070,< 100 DM,>= 7 years,3,Male : Single,None,4,Car or other,33,None,Own,2,Skilled employee,1,Yes,Yes,0
No checking account,10,Critical account,Furniture/Equipment,2146,< 100 DM,< 1 year,1,Female : Divorced/Separated/Married,None,3,Real estate,23,None,Rent,2,Skilled employee,1,No,Yes,0
No checking account,60,Critical account,Car (new),13756,Unknown / No savings,>= 7 years,2,Male : Single,None,4,Unknown / No property,63,Bank,Free,1,Management / Highly qualified,1,Yes,Yes,0
0 - 200 DM,60,All paid this bank,Others,14782,100 - 500 DM,>= 7 years,3,Female : Divorced/Separated/Married,None,4,Unknown / No property,60,Bank,Free,2,Management / Highly qualified,1,Yes,Yes,1
< 0 DM,48,All paid this bank,Business,7685,< 100 DM,4 - 7 years,2,Female : Divorced/Separated/Married,Guarantor,4,Car or other,37,None,Rent,1,Skilled employee,1,No,Yes,1
No checking account,18,Delay in past,Radio/TV,2320,< 100 DM,Unemployed,2,Male : Married/Widowed,None,3,Real estate,34,None,Own,2,Skilled employee,1,No,Yes,0
No checking account,7,Delay in past,Radio/TV,846,Unknown / No savings,>= 7 years,3,Male : Single,None,4,Unknown / No property,36,None,Free,1,Skilled employee,1,No,Yes,0
0 - 200 DM,36,Existing paid,Car (new),14318,< 100 DM,>= 7 years,4,Male : Single,None,2,Unknown / No property,57,None,Free,1,Management / Highly qualified,1,Yes,Yes,1
No checking account,6,Critical account,Car (new),362,100 - 500 DM,1 - 4 years,4,Female : Divorced/Separated/Married,None,4,Car or other,52,None,Own,2,Unskilled - resident,1,No,Yes,0
< 0 DM,20,Existing paid,Furniture/Equipment,2212,Unknown / No savings,4 - 7 years,4,Male : Single,None,4,Car or other,39,None,Own,1,Skilled employee,1,Yes,Yes,0
0 - 200 DM,18,Existing paid,Car (used),12976,< 100 DM,Unemployed,3,Female : Divorced/Separated/Married,None,4,Unknown / No property,38,None,Free,1,Management / Highly qualified,1,Yes,Yes,1
No checking account,22,Existing paid,Car (new),1283,Unknown / No savings,4 - 7 years,4,Female : Divorced/Separated/Married,None,4,Building society savings / Life insurance,25,None,Rent,1,Skilled employee,1,No,Yes,0
>= 200 DM,12,Existing paid,Car (new),1330,< 100 DM,< 1 year,4,Male : Single,None,1,Real estate,26,None,Own,1,Skilled employee,1,No,Yes,0
No checking account,30,Delay in past,Business,4272,100 - 500 DM,1 - 4 years,2,Male : Single,None,2,Building society savings / Life insurance,26,None,Own,2,Unskilled - resident,1,No,Yes,0
No checking account,18,Critical account,Radio/TV,2238,< 100 DM,1 - 4 years,2,Female : Divorced/Separated/Married,None,1,Car or other,25,None,Own,2,Skilled employee,1,No,Yes,0
No checking account,18,Existing paid,Radio/TV,1126,Unknown / No savings,< 1 year,4,Female : Divorced/Separated/Married,None,2,Real estate,21,None,Rent,1,Skilled employee,1,Yes,Yes,0
0 - 200 DM,18,Critical account,Furniture/Equipment,7374,< 100 DM,Unemployed,4,Male : Single,None,4,Building society savings / Life insurance,40,Stores,Own,2,Management / Highly qualified,1,Yes,Yes,0
0 - 200 DM,15,Critical account,Business,2326,500 - 1000 DM,1 - 4 years,2,Male : Single,None,4,Car or other,27,Bank,Own,1,Skilled employee,1,No,Yes,0
No checking account,9,Existing paid,Business,1449,< 100 DM,4 - 7 years,3,Female : Divorced/Separated/Married,None,2,Car or other,27,None,Own,2,Skilled employee,1,No,Yes,0
No checking account,18,Existing paid,Car (new),1820,< 100 DM,1 - 4 years,2,Male : Married/Widowed,None,2,Building society savings / Life insurance,30,None,Own,1,Management / Highly qualified,1,Yes,Yes,0
0 - 200 DM,12,Existing paid,Furniture/Equipment,983,>= 1000 DM,< 1 year,1,Female : Divorced/Separated/Married,None,4,Real estate,19,None,Rent,1,Unskilled - resident,1,No,Yes,0
< 0 DM,36,Existing paid,Car (new),3249,< 100 DM,4 - 7 years,2,Male : Single,None,4,Unknown / No property,39,Bank,Free,1,Management / Highly qualified,2,Yes,Yes,0
< 0 DM,6,Critical account,Radio/TV,1957,< 100 DM,4 - 7 years,1,Female : Divorced/Separated/Married,None,4,Car or other,31,None,Own,1,Skilled employee,1,No,Yes,0
No checking account,9,Critical account,Furniture/Equipment,2406,< 100 DM,Unemployed,2,Male : Single,None,3,Car or other,31,None,Own,1,Management / Highly qualified,1,No,Yes,0
0 - 200 DM,39,Delay in past,Education,11760,100 - 500 DM,4 - 7 years,2,Male : Single,None,3,Unknown / No property,32,None,Rent,1,Skilled employee,1,Yes,Yes,0
< 0 DM,12,Existing paid,Furniture/Equipment,2578,< 100 DM,Unemployed,3,Female : Divorced/Separated/Married,None,4,Unknown / No property,55,None,Free,1,Management / Highly qualified,1,No,Yes,0
< 0 DM,36,Critical account,Furniture/Equipment,2348,< 100 DM,1 - 4 years,3,Male : Married/Widowed,None,2,Building society savings / Life insurance,46,None,Own,2,Skilled employee,1,Yes,Yes,0
0 - 200 DM,12,Existing paid,Car (new),1223,< 100 DM,>= 7 years,1,Male : Divorced/Separated,None,1,Real estate,46,None,Rent,2,Skilled employee,1,No,Yes,1
No checking account,24,Critical account,Radio/TV,1516,>= 1000 DM,1 - 4 years,4,Female : Divorced/Separated/Married,None,1,Real estate,43,None,Own,2,Unskilled - resident,1,No,Yes,0
No checking account,18,Existing paid,Radio/TV,1473,< 100 DM,< 1 year,3,Male : Married/Widowed,None,4,Real estate,39,None,Own,1,Skilled employee,1,Yes,Yes,0
0 - 200 DM,18,Critical account,Business,1887,Unknown / No savings,1 - 4 years,4,Male : Married/Widowed,None,4,Real estate,28,Bank,Own,2,Skilled employee,1,No,Yes,0
No checking account,24,Delay in past,Business,8648,< 100 DM,< 1 year,2,Male : Single,None,2,Car or other,27,Bank,Own,2,Skilled employee,1,Yes,Yes,1
No checking account,14,Delay in past,Car (new),802,< 100 DM,1 - 4 years,4,Male : Single,None,2,Car or other,27,None,Own,2,Unskilled - resident,1,No,Yes,0
0 - 200 DM,18,Delay in past,Car (new),2899,Unknown / No savings,>= 7 years,4,Male : Single,None,4,Car or other,43,None,Own,1,Skilled employee,2,No,Yes,0
0 - 200 DM,24,Existing paid,Radio/TV,2039,< 100 DM,< 1 year,1,Male : Married/Widowed,None,1,Building society savings / Life insurance,22,None,Own,1,Skilled employee,1,Yes,Yes,1
No checking account,24,Critical account,Car (used),2197,Unknown / No savings,4 - 7 years,4,Male : Single,None,4,Car or other,43,None,Own,2,Skilled employee,2,Yes,Yes,0
< 0 DM,15,Existing paid,Radio/TV,1053,< 100 DM,< 1 year,4,Male : Married/Widowed,None,2,Real estate,27,None,Own,1,Skilled employee,1,No,No,0
No checking account,24,Existing paid,Radio/TV,3235,500 - 1000 DM,>= 7 years,3,Male : Divorced/Separated,None,2,Car or other,26,None,Own,1,Management / Highly qualified,1,Yes,Yes,0
>= 200 DM,12,Critical account,Car (new),939,500 - 1000 DM,4 - 7 years,4,Male : Married/Widowed,None,2,Real estate,28,None,Own,3,Skilled employee,1,Yes,Yes,1
0 - 200 DM,24,Existing paid,Radio/TV,1967,< 100 DM,>= 7 years,4,Female : Divorced/Separated/Married,None,4,Car or other,20,None,Own,1,Skilled employee,1,Yes,Yes,0
No checking account,33,Critical account,Car (used),7253,< 100 DM,4 - 7 years,3,Male : Single,None,2,Car or other,35,None,Own,2,Management / Highly qualified,1,Yes,Yes,0
No checking account,12,Critical account,Business,2292,< 100 DM,Unemployed,4,Male : Single,None,2,Car or other,42,Stores,Own,2,Management / Highly qualified,1,Yes,Yes,1
No checking account,10,Existing paid,Car (new),1597,500 - 1000 DM,1 - 4 years,3,Male : Single,None,2,Unknown / No property,40,None,Rent,1,Unskilled - resident,2,No,No,0
< 0 DM,24,Existing paid,Car (new),1381,Unknown / No savings,1 - 4 years,4,Female : Divorced/Separated/Married,None,2,Building society savings / Life insurance,35,None,Own,1,Skilled employee,1,No,Yes,1
No checking account,36,Critical account,Car (used),5842,< 100 DM,>= 7 years,2,Male : Single,None,2,Building society savings / Life insurance,35,None,Own,2,Skilled employee,2,Yes,Yes,0
< 0 DM,12,Existing paid,Car (new),2579,< 100 DM,< 1 year,4,Male : Single,None,1,Real estate,33,None,Own,1,Unskilled - resident,2,No,Yes,1
< 0 DM,18,Delay in past,Education,8471,Unknown / No savings,1 - 4 years,1,Female : Divorced/Separated/Married,None,2,Car or other,23,None,Rent,2,Skilled employee,1,Yes,Yes,0
No checking account,21,Existing paid,Car (new),2782,500 - 1000 DM,4 - 7 years,1,Female : Divorced/Separated/Married,None,2,Car or other,31,Bank,Own,1,Management / Highly qualified,1,No,Yes,0
0 - 200 DM,18,Existing paid,Car (new),1042,Unknown / No savings,1 - 4 years,4,Female : Divorced/Separated/Married,None,2,Building society savings / Life insurance,33,None,Own,1,Skilled employee,1,No,Yes,1
No checking account,15,Existing paid,Car (new),3186,>= 1000 DM,4 - 7 years,2,Female : Divorced/Separated/Married,None,3,Car or other,20,None,Rent,1,Skilled employee,1,No,Yes,0
0 - 200 DM,12,Existing paid,Car (used),2028,Unknown / No savings,1 - 4 years,4,Male : Single,None,2,Car or other,30,None,Own,1,Skilled employee,1,No,Yes,0
0 - 200 DM,12,Critical account,Car (new),958,< 100 DM,4 - 7 years,2,Male : Single,None,3,Real estate,47,None,Own,2,Unskilled - resident,2,No,Yes,0
No checking account,21,Delay in past,Furniture/Equipment,1591,100 - 500 DM,4 - 7 years,4,Male : Single,None,3,Real estate,34,None,Own,2,Management / Highly qualified,1,No,Yes,0
0 - 200 DM,12,Existing paid,Furniture/Equipment,2762,Unknown / No savings,>= 7 years,1,Female : Divorced/Separated/Married,None,2,Building society savings / Life insurance,25,Bank,Own,1,Skilled employee,1,Yes,Yes,1
0 - 200 DM,18,Existing paid,Car (used),2779,< 100 DM,1 - 4 years,1,Male : Married/Widowed,None,3,Car or other,21,None,Rent,1,Skilled employee,1,Yes,Yes,0
No checking account,28,Critical account,Radio/TV,2743,< 100 DM,>= 7 years,4,Male : Single,None,2,Car or other,29,None,Own,2,Skilled employee,1,No,Yes,0
No checking account,18,Critical account,Radio/TV,1149,>= 1000 DM,1 - 4 years,4,Male : Single,None,3,Real estate,46,None,Own,2,Skilled employee,1,No,Yes,0
No checking account,9,Existing paid,Furniture/Equipment,1313,< 100 DM,>= 7 years,1,Male : Single,None,4,Car or other,20,None,Own,1,Skilled employee,1,No,Yes,0
< 0 DM,18,Critical account,Repairs,1190,< 100 DM,Unemployed,2,Female : Divorced/Separated/Married,None,4,Unknown / No property,55,None,Free,3,Unemployed / Unskilled - non-resident,2,No,Yes,1
No checking account,5,Existing paid,Business,3448,< 100 DM,4 - 7 years,1,Male : Single,None,4,Real estate,74,None,Own,1,Unskilled - resident,1,No,Yes,0
0 - 200 DM,24,Existing paid,Others,11328,< 100 DM,1 - 4 years,2,Male : Single,Co-applicant,3,Car or other,29,Bank,Own,2,Management / Highly qualified,1,Yes,Yes,1
< 0 DM,6,Critical account,Furniture/Equipment,1872,< 100 DM,Unemployed,4,Male : Single,None,4,Unknown / No property,36,None,Free,3,Management / Highly qualified,1,Yes,Yes,0
No checking account,24,Critical account,Repairs,2058,< 100 DM,1 - 4 years,4,Male : Divorced/Separated,None,2,Real estate,33,None,Own,2,Skilled employee,1,Yes,Yes,0
< 0 DM,9,Existing paid,Furniture/Equipment,2136,< 100 DM,1 - 4 years,3,Male : Single,None,2,Real estate,25,None,Own,1,Skilled employee,1,No,Yes,0
0 - 200 DM,12,Existing paid,Radio/TV,1484,Unknown / No savings,1 - 4 years,2,Male : Married/Widowed,None,1,Real estate,25,None,Own,1,Skilled employee,1,Yes,Yes,1
No checking account,6,Existing paid,Repairs,660,500 - 1000 DM,4 - 7 years,2,Male : Married/Widowed,None,4,Real estate,23,None,Rent,1,Unskilled - resident,1,No,Yes,0
No checking account,24,Critical account,Car (new),1287,>= 1000 DM,>= 7 years,4,Female : Divorced/Separated/Married,None,4,Real estate,37,None,Own,2,Skilled employee,1,Yes,Yes,0
< 0 DM,42,Critical account,Repairs,3394,< 100 DM,Unemployed,4,Male : Single,Co-applicant,4,Car or other,65,None,Own,2,Unemployed / Unskilled - non-resident,1,No,Yes,0
>= 200 DM,12,All paid this bank,Business,609,< 100 DM,< 1 year,4,Female : Divorced/Separated/Married,None,1,Real estate,26,None,Own,1,Unemployed / Unskilled - non-resident,1,No,Yes,1
No checking account,12,Existing paid,Car (new),1884,< 100 DM,>= 7 years,4,Male : Single,None,4,Car or other,39,None,Own,1,Management / Highly qualified,1,Yes,Yes,0
< 0 DM,12,Existing paid,Furniture/Equipment,1620,< 100 DM,1 - 4 years,2,Female : Divorced/Separated/Married,Co-applicant,3,Building society savings / Life insurance,30,None,Own,1,Skilled employee,1,No,Yes,0
0 - 200 DM,20,Delay in past,Others,2629,< 100 DM,1 - 4 years,2,Male : Single,None,3,Car or other,29,Bank,Own,2,Skilled employee,1,Yes,Yes,0
No checking account,12,Existing paid,Education,719,< 100 DM,>= 7 years,4,Male : Single,None,4,Car or other,41,Bank,Own,1,Unskilled - resident,2,No,Yes,1
0 - 200 DM,48,Critical account,Furniture/Equipment,5096,< 100 DM,1 - 4 years,2,Female : Divorced/Separated/Married,None,3,Car or other,30,None,Own,1,Management / Highly qualified,1,Yes,Yes,1
No checking account,9,Critical account,Education,1244,Unknown / No savings,>= 7 years,4,Female : Divorced/Separated/Married,None,4,Building society savings / Life insurance,41,None,Rent,2,Unskilled - resident,1,No,Yes,0
< 0 DM,36,Existing paid,Car (new),1842,< 100 DM,< 1 year,4,Female : Divorced/Separated/Married,None,4,Car or other,34,None,Own,1,Skilled employee,1,Yes,Yes,1
0 - 200 DM,7,Existing paid,Radio/TV,2576,< 100 DM,1 - 4 years,2,Male : Single,Guarantor,2,Real estate,35,None,Own,1,Skilled employee,1,No,Yes,0
>= 200 DM,12,Existing paid,Furniture/Equipment,1424,Unknown / No savings,>= 7 years,3,Female : Divorced/Separated/Married,None,4,Real estate,55,None,Own,1,Management / Highly qualified,1,Yes,Yes,0
0 - 200 DM,15,Delay in past,Repairs,1512,>= 1000 DM,1 - 4 years,3,Male : Married/Widowed,None,3,Building society savings / Life insurance,61,Stores,Own,2,Skilled employee,1,No,Yes,1
No checking account,36,Critical account,Car (used),11054,Unknown / No savings,1 - 4 years,4,Male : Single,None,2,Car or other,30,None,Own,1,Management / Highly qualified,1,Yes,Yes,0
No checking account,6,Existing paid,Radio/TV,518,< 100 DM,1 - 4 years,3,Female : Divorced/Separated/Married,None,1,Real estate,29,None,Own,1,Skilled employee,1,No,Yes,0
No checking account,12,No credits / All paid,Furniture/Equipment,2759,< 100 DM,>= 7 years,2,Male : Single,None,4,Building society savings / Life insurance,34,None,Own,2,Skilled employee,1,No,Yes,0
No checking account,24,Existing paid,Car (used),2670,< 100 DM,>= 7 years,4,Male : Single,None,4,Car or other,35,None,Own,1,Management / Highly qualified,1,Yes,Yes,0
< 0 DM,24,Existing paid,Car (new),4817,< 100 DM,4 - 7 years,2,Male : Single,Co-applicant,3,Building society savings / Life insurance,31,None,Own,1,Skilled employee,1,Yes,Yes,1
No checking account,24,Existing paid,Car (used),2679,< 100 DM,< 1 year,4,Female : Divorced/Separated/Married,None,1,Unknown / No property,29,None,Own,1,Management / Highly qualified,1,Yes,Yes,0
< 0 DM,11,Critical account,Car (new),3905,< 100 DM,1 - 4 years,2,Male : Single,None,2,Real estate,36,None,Rent,2,Skilled employee,2,No,Yes,0
< 0 DM,12,Existing paid,Car (used),3386,< 100 DM,>= 7 years,3,Male : Single,None,4,Unknown / No property,35,None,Free,1,Skilled employee,1,Yes,Yes,1
< 0 DM,6,Existing paid,Domestic appliances,343,< 100 DM,< 1 year,4,Female : Divorced/Separated/Married,None,1,Real estate,27,None,Own,1,Skilled employee,1,No,Yes,0
No checking account,18,Existing paid,Radio/TV,4594,< 100 DM,< 1 year,3,Male : Single,None,2,Car or other,32,None,Own,1,Skilled employee,1,Yes,Yes,0
